did,name,version,uploader,status,format,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures
351,codrna,1,167,active,Sparse_ARFF,325710.0,2.0,162855.0,2.0,9.0,488565.0,0.0,0.0,8.0,1.0
354,poker,1,167,active,Sparse_ARFF,513702.0,2.0,511308.0,2.0,11.0,1025010.0,0.0,0.0,10.0,1.0
357,vehicle_sensIT,1,167,active,Sparse_ARFF,49264.0,2.0,49264.0,2.0,101.0,98528.0,0.0,0.0,100.0,1.0
372,internet_usage,1,2,active,ARFF,2878.0,10108.0,6.0,46.0,72.0,10108.0,2699.0,2699.0,0.0,72.0
373,UNIX_user_data,1,2,active,ARFF,2425.0,9.0,484.0,9.0,3.0,9100.0,0.0,0.0,1.0,1.0
374,SyskillWebert-BioMedical,1,2,active,ARFF,96.0,3.0,3.0,3.0,3.0,131.0,0.0,0.0,0.0,1.0
375,JapaneseVowels,1,2,active,ARFF,1614.0,9.0,782.0,9.0,15.0,9961.0,0.0,0.0,14.0,1.0
376,SyskillWebert-Sheep,1,2,active,ARFF,51.0,2.0,14.0,2.0,3.0,65.0,0.0,0.0,0.0,1.0
377,synthetic_control,1,2,active,ARFF,100.0,6.0,100.0,6.0,61.0,600.0,0.0,0.0,60.0,1.0
378,ipums_la_99-small,1,2,active,ARFF,5803.0,3890.0,197.0,7.0,61.0,8844.0,8844.0,51515.0,0.0,61.0
379,SyskillWebert-Goats,1,2,active,ARFF,37.0,3.0,1.0,3.0,3.0,70.0,0.0,0.0,0.0,1.0
380,SyskillWebert-Bands,1,2,active,ARFF,39.0,3.0,7.0,3.0,3.0,61.0,0.0,0.0,0.0,1.0
381,ipums_la_98-small,1,2,active,ARFF,4802.0,3594.0,71.0,7.0,61.0,7485.0,7485.0,52048.0,0.0,61.0
382,ipums_la_97-small,1,2,active,ARFF,1938.0,488.0,258.0,8.0,61.0,7019.0,7019.0,48089.0,0.0,61.0
383,tr45.wc,1,2,active,Sparse_ARFF,160.0,10.0,14.0,10.0,8262.0,690.0,0.0,0.0,8261.0,1.0
384,tr21.wc,1,2,active,Sparse_ARFF,231.0,6.0,4.0,6.0,7903.0,336.0,0.0,0.0,7902.0,1.0
385,tr31.wc,1,2,active,Sparse_ARFF,352.0,7.0,2.0,7.0,10129.0,927.0,0.0,0.0,10128.0,1.0
386,oh15.wc,1,2,active,Sparse_ARFF,157.0,10.0,53.0,10.0,3101.0,913.0,0.0,0.0,3100.0,1.0
387,tr11.wc,1,2,active,Sparse_ARFF,132.0,9.0,6.0,9.0,6430.0,414.0,0.0,0.0,6429.0,1.0
388,tr23.wc,1,2,active,Sparse_ARFF,91.0,6.0,6.0,6.0,5833.0,204.0,0.0,0.0,5832.0,1.0
389,fbis.wc,1,2,active,Sparse_ARFF,506.0,17.0,38.0,17.0,2001.0,2463.0,0.0,0.0,2000.0,1.0
390,new3s.wc,1,2,active,Sparse_ARFF,696.0,44.0,104.0,44.0,26833.0,9558.0,0.0,0.0,26832.0,1.0
391,re0.wc,1,2,active,Sparse_ARFF,608.0,13.0,11.0,13.0,2887.0,1504.0,0.0,0.0,2886.0,1.0
392,oh0.wc,1,2,active,Sparse_ARFF,194.0,10.0,51.0,10.0,3183.0,1003.0,0.0,0.0,3182.0,1.0
393,la2s.wc,1,2,active,Sparse_ARFF,905.0,6.0,248.0,6.0,12433.0,3075.0,0.0,0.0,12432.0,1.0
394,oh5.wc,1,2,active,Sparse_ARFF,149.0,10.0,59.0,10.0,3013.0,918.0,0.0,0.0,3012.0,1.0
395,re1.wc,1,2,active,Sparse_ARFF,371.0,25.0,10.0,25.0,3759.0,1657.0,0.0,0.0,3758.0,1.0
396,la1s.wc,1,2,active,Sparse_ARFF,943.0,6.0,273.0,6.0,13196.0,3204.0,0.0,0.0,13195.0,1.0
